date,address,floor,houseType,age,twPing,bedRoom,livingRoom,restRoom,balcony,ratioOfPublicArea,price,pricePerTwPing
2020-12-01,萬盛街７６號三樓,3,公寓,51,34.41240125136,3,2,2,0,0.0,15500000.0,136252.0
2020-12-01,菁山路１０２號三樓,3,華廈,7,24.73240089936,0,0,0,2,0.5451320939334637,11000000.0,134557.0
2020-11-03,內湖路一段２１７巷２４號二樓,2,華廈,40,33.05720120208,3,2,2,2,0.343612737920937,17390000.0,159133.0
2020-11-04,大南路４００號四樓,4,公寓,40,31.931901161160003,3,2,1,2,0.069439181508147,13500000.0,127889.0
2020-11-03,文德路２０７巷７弄２號五樓,5,公寓,39,32.79402619251,3,2,2,2,0.1541370722258095,12000000.0,110691.0
2020-11-03,臨沂街７５巷１５號地下之２,-1,華廈,27,8.19170029788,0,0,0,0,0.4128508124076809,4150000.0,153250.0
2020-11-03,富民路１４５巷１５弄５０之１號五樓,5,公寓,41,6.4341752339700005,3,1,1,1,0.1325811001410437,2000000.0,94029.0
2020-11-03,環河南路三段３６１號三樓,3,公寓,51,24.03665087406,3,2,1,0,0.0,8000000.0,100680.0
2020-11-04,承德路四段３２７號四樓,4,電梯大樓,38,36.27580131912,3,2,2,2,0.2678452301534356,18100000.0,150934.0
2020-11-05,松隆路５８號,1,公寓,50,2.67107509713,0,0,0,0,0.0,2000000.0,226501.0
2020-11-10,中央南路二段２８號九樓之７,9,電梯大樓,15,30.3407511033,2,2,1,2,0.4218344965104686,12572000.0,125344.0
2020-11-02,民權東路六段２８０巷４５弄３９號三樓之３,3,華廈,29,18.3012506655,1,1,1,1,0.5573553719008264,8800000.0,145455.0
2020-11-07,南京西路３６０之２號六樓之８,6,電梯大樓,45,9.47127534441,0,0,1,1,0.3101245608431811,4900000.0,156500.0
2020-11-02,艋舺大道２７５巷１８號十二樓,12,電梯大樓,4,53.575776948210006,3,2,2,2,0.3780136638247418,33400000.0,188583.0
2020-11-05,信義路二段６５號八樓之９,8,電梯大樓,26,2.67712509735,1,1,1,1,0.4033898305084746,2800000.0,316027.0
2020-11-05,麗山街３２８巷３號,1,公寓,40,34.74515126346,3,2,2,0,0.2262754657844332,22000000.0,191538.0
2020-11-01,新生北路一段７８號五樓之２,5,電梯大樓,35,23.94590087076,2,1,1,2,0.1529813036887316,15900000.0,200834.0
2020-11-06,中山北路三段３０號二樓之４,2,電梯大樓,41,17.85052564911,1,2,1,2,0.2955431282833418,12500000.0,211829.0
2020-11-02,林森北路６０８號四樓,4,公寓,56,22.67842582467,4,0,4,0,0.0,12880000.0,171802.0
2020-11-11,八德路四段６７８號地下,1,電梯大樓,30,2.79207510153,0,0,0,0,1.0,295000.0,31961.0
2020-11-10,延平北路六段２５８巷５６弄２１號,1,公寓,43,28.38055103202,3,1,1,0,-9.466834573653007e-17,14000000.0,149222.0
2020-11-04,溫泉路１３９號六樓之１８,6,華廈,46,8.68477531581,1,1,1,1,0.2699407871821664,2600000.0,90561.0
2020-11-01,杭州南路一段１２５號十樓之１,10,華廈,27,16.06880058432,1,1,1,1,0.2219503012048194,15800000.0,297440.0
2020-11-13,復興北路２２３號六樓,6,電梯大樓,38,31.40857614213,3,1,1,2,0.3315997303284214,16000000.0,154098.0
2020-11-12,大度路三段３０１巷１２３號,1,公寓,44,30.328651102860004,3,1,1,0,5.3152508659492826e-17,3035000.0,30271.0
2020-11-13,溫泉路１４９之８號二樓,2,公寓,48,20.91485076054,1,2,2,0,0.0,4400000.0,63639.0
2020-11-06,忠誠路二段１４８巷１６號四樓,4,公寓,42,35.04765127446,3,2,2,2,0.1779734161919558,16800000.0,145003.0
2020-11-06,民生東路一段２９號五樓之３,5,電梯大樓,40,5.59927520361,2,2,1,0,0.2020529443544029,1875000.0,101297.0
2020-11-11,忠孝東路四段５５３巷１６弄１之２號七樓,7,華廈,47,9.801000356400005,0,0,0,0,0.1768518518518519,5000000.0,154321.0
2020-11-03,西藏路２１７號三樓,3,華廈,36,42.34697653989,3,2,2,2,0.1152939495678262,20200000.0,144296.0
2020-11-02,南昌路二段１１２號三樓之９,3,電梯大樓,27,25.9545009438,2,2,1,0,0.3438228438228438,17480000.0,203730.0
2020-11-12,試院路１４４巷４弄２０號七樓,7,華廈,28,10.236600372240002,1,1,1,1,0.416371158392435,3700000.0,109338.0
2020-11-13,林森北路６７巷４３號四樓,4,華廈,46,21.35952577671,5,2,2,2,0.1155643676533068,11200000.0,158618.0
2020-11-11,民權東路六段１６０號六樓之３,6,電梯大樓,31,52.76810191884,0,0,0,2,0.3014790185737216,30500000.0,174845.0
2020-11-06,寶清街２１之５號,1,電梯大樓,34,10.79017539237,2,1,1,0,0.1839080459770116,4890000.0,137090.0
2020-11-04,延平北路五段７５號十二樓,12,電梯大樓,6,22.93252583391,1,1,1,0,0.3523281888932859,13500000.0,178077.0
2020-11-16,公路６５號三樓,3,公寓,44,44.9212516335,4,2,2,2,0.149023569023569,5200000.0,35017.0
2020-11-01,文德路２２０巷３５號三樓之３,3,華廈,16,14.38085052294,0,0,1,1,0.3725283971392512,10500000.0,220867.0
2020-11-05,昆明街２０１巷１０號三樓,3,公寓,45,17.3332506303,2,1,1,1,0.0684118673647468,7000000.0,122164.0
2020-11-03,民權東路三段１０３巷１號六樓之２,6,華廈,38,30.63417611397,2,2,1,2,0.3027550113557815,20600000.0,203417.0
2020-11-02,八德路四段４２７號二樓,2,公寓,44,14.849725539990002,5,2,2,0,0.0,7700000.0,156855.0
2020-11-09,忠義街９１巷２２號地下,-1,公寓,37,35.95515130746,3,2,2,0,0.0237253912165572,7800000.0,65623.0
2020-11-08,承德路四段８０巷２９號二樓,2,公寓,44,26.774275973610003,3,2,2,2,0.1073325048017173,15000000.0,169472.0
2020-11-11,稻香路１３５巷１６號四樓,4,公寓,33,31.59310114884,3,2,2,2,0.2158176943699731,7800000.0,74684.0
2020-11-05,中正路６５５巷８號八樓之１,8,電梯大樓,9,26.39312595975,2,1,1,1,0.3752435530085959,15250000.0,174785.0
2020-11-01,中和街３６６號十樓之３,10,電梯大樓,25,32.491526181510004,3,2,2,2,0.2126431430965459,13800000.0,128480.0
2020-11-16,南京東路三段３３５巷５號三樓之６,3,華廈,36,8.479075308330001,1,1,1,1,0.4991080984659294,7580000.0,270425.0
2020-11-11,木新路二段２５號四樓,4,電梯大樓,28,31.04255112882,2,2,2,2,0.3655232898070552,17080000.0,166439.0
2020-11-04,通河東街一段１６７巷３７號,1,公寓,33,23.03537583765,0,0,0,0,0.0643466841759685,9126000.0,119842.0
2020-11-04,通河東街一段１６７巷３７號,1,公寓,33,75.40720274208,0,0,0,0,0.0643453145057766,29874000.0,119841.0
2020-11-01,尊賢街２２１號,1,公寓,39,33.79227622881,0,0,0,0,0.0896965356727239,32200000.0,288246.0
2020-11-05,大湖山莊街２１９巷８號五樓,5,公寓,41,21.73462579035,2,2,1,2,0.131384829505915,9000000.0,125261.0
2020-11-07,成功路四段６８號八樓之２,8,電梯大樓,28,12.99540047256,1,1,1,1,0.3268156424581006,8800000.0,204842.0
2020-11-11,新明路３８０巷４弄２３號三樓,3,公寓,49,8.539575310530001,3,2,1,0,0.0,2400000.0,85016.0
